50.8	1.616e3
55.0	8.802e4
56.1	2.039e4
57.0	6.099e4
58.9	1.093e5
66.9	5.647e4
67.8	2.678e3
69.0	5.462e5
69.9	1.883e4
70.9	2.564e6
71.9	1.004e5
73.0	1.190e5
77.0	3.362e4
77.8	1.411e3
79.0	1.910e5
80.0	4.689e3
81.0	1.182e6
82.0	8.503e4
83.0	1.837e5
83.9	3.502e4
84.5	2.687e3
85.0	1.725e5
91.0	2.627e5
92.0	1.650e4
93.0	4.648e6
94.0	3.383e5
95.0	7.034e5
96.0	5.615e4
97.0	1.379e5
98.0	3.867e4
99.0	8.258e5
105.0	1.047e5
105.8	6.229e3
107.0	4.068e6
108.0	2.905e5
109.0	4.136e5
111.0	3.113e5
112.0	2.790e4
113.2	3.978e4
119.0	2.013e5
120.0	1.215e5
121.5	6.121e3
123.0	9.765e5
124.0	7.107e4
125.0	9.199e4
131.0	4.011e4
132.3	1.048e4
133.0	3.174e5
134.1	3.232e4
135.0	1.125e7
136.0	1.208e6
137.1	5.497e5
138.1	5.613e4
139.0	2.320e5
140.1	2.445e4
141.1	6.774e4
145.0	3.972e4
149.1	1.450e5
150.2	6.890e3
151.1	4.147e6
152.1	4.628e5
153.1	7.180e6
154.1	8.205e5
155.0	7.825e4
162.1	8.082e3
163.1	1.079e5
164.0	2.321e4
165.0	2.775e4
165.9	7.877e3
167.1	2.178e5
169.1	1.977e4
170.8	1.948e4
173.1	8.454e5
174.1	1.151e5
175.1	3.253e4
183.1	6.564e3
189.1	1.387e5
190.1	1.664e4
191.1	2.625e6
192.1	3.753e5
193.1	5.913e4
199.2	3.385e4
203.1	9.446e3
204.3	8.332e3
204.7	3.201e3
205.2	6.822e4
209.1	1.158e4
217.2	1.548e4
237.1	2.927e4
252.3	3.490e4
269.2	5.806e4
271.3	3.582e4
274.9	1.250e4
277.1	1.065e4
287.3	2.338e4
297.9	1.396e4
